Date,Open,High,Low,Close,Volume
8/31/2010,53.91,54.01,52.91,53.33,13104290
9/1/2010,54.1,55.41,53.9,55.18,11269509
9/2/2010,55.53,56.47,55.08,56.42,8583252
9/3/2010,57.17,57.9,56.79,57.37,9450518
9/7/2010,57.43,57.51,56.61,57.13,9282735
9/8/2010,57.28,58.9,57.13,58.34,8950213
9/9/2010,59.15,59.38,58.36,58.53,7350089
9/10/2010,59.14,59.78,58.74,59.31,7794881
9/13/2010,59.93,60.45,59.72,60.15,7280635
9/14/2010,59.98,59.99,58.04,58.85,13391918
9/15/2010,58.52,59.43,57.28,58.19,15782532
9/16/2010,58,58.55,57.7,58.18,6871614
9/17/2010,58.67,58.87,58.09,58.1,9750096
9/20/2010,58.21,59.13,57.77,58.84,9389299
9/21/2010,58.85,59.81,58.66,59.29,8345187
9/22/2010,59.4,59.93,58.79,58.98,6663612
9/23/2010,58.11,58.84,57.8,58.11,8540246
9/24/2010,59.12,61.06,58.91,60.64,9836241
9/27/2010,61.03,61.07,59.67,59.86,7829500
9/28/2010,59.97,60.44,59.39,60.29,8289755
9/29/2010,60.37,62.17,60.11,61.52,9778508
9/30/2010,62.21,62.96,61.29,61.61,10180563
10/1/2010,62.37,62.85,61.8,62.43,8851250
10/4/2010,62.28,63,60.57,61.2,7277434
10/5/2010,62.14,63.2,61.87,62.96,9926438
10/6/2010,62.81,63.92,62.73,63.13,8346526
10/7/2010,63.68,63.68,62.42,62.99,7831464
10/8/2010,62.74,63.79,61.6,63.56,8344319
10/11/2010,63.39,64.09,62.87,63.5,5628812
10/12/2010,63.16,63.23,61.97,62.66,12047815
10/13/2010,63.49,64.98,63.26,64.62,10551277
10/14/2010,64.73,64.98,63.7,64.26,8015766
10/15/2010,64.71,64.88,63.52,64.5,11593940
10/18/2010,63.9,65.66,63.53,64.51,8122127
10/19/2010,63.62,63.88,62.36,63.14,13664221
10/20/2010,63.44,64.75,63.11,64.29,8652114
10/21/2010,64.5,64.95,63.5,64.31,10354506
10/22/2010,66.07,68.2,66.01,67.77,14852710
10/25/2010,68.53,69.91,68.49,68.53,12847618
10/26/2010,68.44,69.59,68.21,69.11,9678989
10/27/2010,68.24,69.35,67.6,69.24,7862400
10/28/2010,69.59,69.98,68.54,69.78,14202519
10/29/2010,69.49,70.23,69.03,69.89,12562995
11/1/2010,70.44,70.46,69.54,70.17,12299803
11/2/2010,70.87,72.08,70.61,71.47,9437533
11/3/2010,71.7,72.21,70.95,72.21,9477007
11/4/2010,73.84,75.84,73.64,75.8,14368599
11/5/2010,75.45,76.33,74.66,75.66,11416394
11/8/2010,75.39,75.66,74.24,74.84,10582537
11/9/2010,75.1,76.3,73.5,73.92,11242026
11/10/2010,73.83,74.76,73.23,74.65,11753887
11/11/2010,73.99,75.14,73.52,75.02,9052251
11/12/2010,73.59,74.9,73.24,74.11,11112491
11/15/2010,74.31,74.78,73.8,74.3,8441957
11/16/2010,72.95,74.32,72.5,73.18,12478301
11/17/2010,72.74,74.77,72.58,74.4,9636855
11/18/2010,75.18,75.98,75,75.5,9386230
11/19/2010,75.49,76.47,74.28,76.43,7687645
11/22/2010,75.9,76.4,74.63,76.4,8319357
11/23/2010,75.42,75.48,73.83,75.44,9621476
11/24/2010,75.74,77.2,75.7,77.15,6878192
11/26/2010,76.13,77.35,75.98,75.98,2771104
11/29/2010,75.9,77.16,75.06,77,8594706
11/30/2010,75.44,77.79,74.73,77.34,11117816
12/1/2010,78.3,81.2,78.3,80.85,11989923
12/2/2010,80.56,81.12,80.28,80.74,7862932
12/3/2010,79.67,83,79.67,82.74,10792346
12/6/2010,82.74,83.21,81.3,82.86,6948465
12/7/2010,83.89,84.11,80.72,81,9649513
12/8/2010,81.18,81.84,80.3,80.9,7406750
12/9/2010,82.03,82.42,80.51,81.24,5713435
12/10/2010,81.02,81.84,80.92,81.54,5861811
12/13/2010,82.31,83.85,82.2,82.43,8062078
12/14/2010,82.43,82.59,81.01,81.33,7120889
12/15/2010,80.6,81.78,80.55,80.72,6430993
12/16/2010,80.58,81.18,79.71,81.13,6678756
12/17/2010,81.01,81.69,80.71,81.34,7640136
12/20/2010,81.54,82.4,81.39,82.18,5908946
12/21/2010,82.32,82.73,81.74,82.44,5396291
12/22/2010,82.78,83.16,82.23,82.81,4041681
12/23/2010,82.55,83,82.25,82.52,3741466
12/27/2010,81.85,82.64,81.7,82.42,2857992
12/28/2010,82.19,82.94,82.19,82.21,2753520
12/29/2010,82.27,84,82.27,83.63,4512495
12/30/2010,83.71,84,82.83,83.36,3297174
12/31/2010,83.32,83.82,83,83.5,3385053
1/3/2011,84,84.55,83.37,83.65,5429560
1/4/2011,83.81,84.23,80.65,81.63,8643978
1/5/2011,80.94,82.7,80.6,82.59,6220924
1/6/2011,82.6,82.68,79.74,80.53,8266872
1/7/2011,80.56,82.25,80.29,81.56,6604755
1/10/2011,80.93,81.47,80.17,80.68,6483376
1/11/2011,81.41,82.46,81.39,82.26,6606676
1/12/2011,82.93,84.49,82.88,84.45,6797720
1/13/2011,84.3,85.3,83.9,84.6,7357851
1/14/2011,84.58,86.96,84.11,86.91,8400879
1/18/2011,86.59,86.9,85.94,86.76,7381661
1/19/2011,87.08,87.7,85.78,86.26,11819692
1/20/2011,84.59,85.33,82.44,85.28,11931815
1/21/2011,87.4,87.56,82.84,83.48,19141793
1/24/2011,84,84.76,82,84.25,9929322
1/25/2011,84.26,84.54,82.23,83.25,9158185
1/26/2011,83.99,87.75,83.83,87.45,10597561
1/27/2011,87.35,87.87,85.51,85.98,9220719
1/28/2011,87.4,87.49,85.71,86.67,8792955
1/31/2011,86.41,89,86.11,88.99,8150559
2/1/2011,89.48,90.42,88.9,89.64,10033215
2/2/2011,89.44,89.81,88.43,89.08,5520915
2/3/2011,89.4,89.54,87.72,89.43,5521462
2/4/2011,89.59,89.97,88.16,89.33,6036389
2/7/2011,89.62,91.24,89.1,89.83,6750257
2/8/2011,89.37,89.69,87.6,89.06,6179864
2/9/2011,88.39,89.64,87.25,88.49,6169838
2/10/2011,88.59,90.7,88.3,90.63,6874048
2/11/2011,89.99,91.61,89.65,90.37,5895111
2/14/2011,90.21,92.34,90.21,92.24,5728364
2/15/2011,92.09,92.66,91.15,92.34,7362939
2/16/2011,92.36,94.5,91.78,94.01,8895018
2/17/2011,92.46,94.92,92.46,94.37,6732642
2/18/2011,94.75,95.15,93.65,95.04,8261121
2/22/2011,95,95.64,91.41,92.91,13637485
2/23/2011,92.2,94.61,92.03,92.9,10387050
2/24/2011,91.85,92.61,89.52,89.65,11831953
2/25/2011,90.63,92.98,90.25,92.85,8013135
2/28/2011,93.13,93.61,91.82,93.42,8329829
3/1/2011,94.49,95,91.4,91.5,9203197
3/2/2011,90.86,91.43,89.52,90.99,9360900
3/3/2011,92.35,93.01,91.53,92.85,7650883
3/4/2011,92.64,92.98,90.44,91.4,6035291
3/7/2011,91.78,92.33,89.92,90.25,6868841
3/8/2011,91.3,91.36,89.53,89.85,5962629
3/9/2011,89.43,89.98,88.03,88.55,7592476
3/10/2011,86.62,86.9,84.39,84.61,13767822
3/11/2011,83.67,86.88,83.65,86.24,8583257
3/14/2011,85.37,85.81,83.64,85.36,11379313
3/15/2011,82.15,85.49,82.07,84.8,8799635
3/16/2011,84.07,84.86,81.93,83.1,13273292
3/17/2011,84.81,87.5,84.12,87.05,11250013
3/18/2011,87.76,88.15,85.32,85.93,11644122
3/21/2011,87.14,89.74,87.14,89.73,8191039
3/22/2011,89.32,89.73,88.27,88.77,6450140
3/23/2011,88.72,89.02,87.63,88.5,4817641
3/24/2011,88.86,88.99,86.71,88.1,6526816
3/25/2011,87.73,87.92,86.38,86.89,10846703
3/28/2011,86.52,91.35,86.27,90.43,15766719
3/29/2011,90.75,94.69,90.16,94.36,13462970
